Country,Population,GDP,Year Established
 Bangladesh,152518015,127195,1971
 Brazil,201032714,2254109,1822
 Burma,53259000,55273,1956
 China,1363480000,8358400,-221
 Democratic Republic of the Congo,67514000,17247,1885
 Egypt,86166200,257286,-3100
 Ethiopia,86613986,42516,1975
 France,65844000,2611221,1870
 Germany,80716000,3425956,486
 India,1241900000,1875213,-322
 Indonesia,249866000,878043,1945
 Iran,77305000,551588,-3200
 Italy,59993524,2013392,1861
 Japan,127120000,5960180,-660
 Mexico,119713203,1183655,1810
 Nigeria,173615000,262545,1960
 Pakistan,185978000,215117,1947
 Philippines,99309400,250182,1898
 Russia,143700000,2029812,862
 South Africa,52981991,384313,1910
 Thailand,65926261,385694,1238
 Turkey,76667864,788299,1037
 United Kingdom,63705000,2417600,519
 United States,317746000,16244600,1776
 Vietnam,89708900,155820,-2879
